,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
116,St Pious Degree College for Women,B.Sc,B.Sc Computer Science, Hyderabad, Telangana,4.3,111,277,2025,"₹ 21,780","4,20,000","10,00,000",UGC 
117,Sri Ramakrishna Mission Vidyalaya College of Arts and Science,B.Sc,B.Sc Information Technology, Coimbatore, Tamil Nadu,4.3,112,277,2025,"₹ 56,000",,,
118,Chitkara University,B.Sc,B.Sc Nautical Science, Chandigarh, Chandigarh,4,113,277,2025,"₹ 11,10,000","10,80,000","1,10,00,000","NCTE, COA, PCI, INC, BCI "
119,Bharata Mata College,B.Sc,B.Sc {Hons.} Psychology, Kochi, Kerala,3.9,114,277,2025,,,"8,40,000",AICTE 
120,KSR College of Arts and Science College (Autonomous),B.Sc,B.Sc Computer Science, Namakkal, Tamil Nadu,4.1,115,277,2025,"₹ 1,05,000","1,80,000","14,00,000",
121,Maris Stella College,B.Sc,B.Sc Biotechnology, Vijayawada, Andhra Pradesh,4.1,116,277,2025,"₹ 17,976",,,AICTE 
122,St Joseph's Degree and  PG College,B.Sc,B.Sc Computer Science, Hyderabad, Telangana,3.9,117,277,2025,"₹ 21,780","4,10,000","12,00,000",
123,Aligarh Muslim University,B.Sc,B.Sc {Hons.} Computer Application, Aligarh, Uttar Pradesh,4.1,118,277,2025,"₹ 35,700",,,"UGC, AIU "
124,Amity University,B.Sc,B.Sc {Hons.} Biotechnology, Mumbai, Maharashtra,4.1,119,277,2025,"₹ 8,72,000","8,10,000","28,00,000","AICTE, RCI, COA, BCI, UGC "
125,V. O. Chidambaram College,B.Sc,B.Sc Computer Science, Thoothukkudi, Tamil Nadu,3.6,120,277,2025,"₹ 45,000",,,UGC 
126,Manav Rachna University,B.Sc,B.Sc + B.Ed, Faridabad, Haryana,3.7,121,277,2025,"₹ 5,12,000",,"60,00,000","AICTE, BCI, UGC, NBA, AIU "
127,Lady Brabourne College,B.Sc,B.Sc Microbiology, Kolkata, West Bengal,3.8,122,277,2025,"₹ 16,000",,,UGC 
128,Sri Krishna Arts and Science College,B.Sc,B.Sc Computer Science, Coimbatore, Tamil Nadu,4.2,123,277,2025,"₹ 1,26,000","3,60,000","16,00,000",UGC 
129,AISECT University,B.Sc,B.Sc {Hons.} Mathematics, Hazaribagh, Jharkhand,4.2,125,277,2025,"₹ 33,400",,,"AICTE, PCI, BCI, UGC "
130,Mafatlal Gagalbhai Science Institute,B.Sc,B.Sc Microbiology, Ahmedabad, Gujarat,4.1,126,277,2025,"₹ 18,600",,,UGC 
131,Maharani Lakshmi Ammanni College for Women,B.Sc,B.Sc Psychology, Bangalore, Karnataka,4,127,277,2025,"₹ 1,50,000",,"8,00,000","AICTE, UGC "
132,M.O.P. Vaishnav College for Women,B.Sc,B.Sc Data Science, Chennai, Tamil Nadu,4.2,128,277,2025,"₹ 42,000","4,50,000","10,20,000",
133,Hans Raj Mahila Maha Vidyalaya,B.Sc,B.Sc Medical, Jalandhar, Punjab,4,129,277,2025,"₹ 1,05,000",,,UGC 
134,Vivekananda College,B.Sc,B.Sc {Hons.} Computer Science, Kolkata, West Bengal,3.8,130,277,2025,,,,
135,St. Xavier's College,B.Sc,B.Sc {Hons.} Biotechnology, Ranchi, Jharkhand,4,131,277,2025,"₹ 3,67,800","5,50,000","42,00,000","NCTE, UGC "
136,BV Raju College,B.Sc,B.Sc Computer Science, Bhimavaram, Andhra Pradesh,4.3,132,277,2025,"₹ 48,000",,,
137,Andhra Loyola College,B.Sc,B.Sc {Hons.} Biotechnology, Vijayawada, Andhra Pradesh,3.9,134,277,2025,"₹ 29,400",,"3,42,000","AICTE, UGC "
138,Mar Athanasius College,B.Sc,B.Sc Statistics, Kothamangalam, Kerala,4.1,135,277,2025,"₹ 31,140",,,
139,St. Mira's College for Girls,B.Sc,B.Sc Computer Science, Pune, Maharashtra,3.6,136,277,2025,"₹ 1,76,045",,,
140,Amity University,B.Sc,B.Sc {Hons.} Forensic Science, Gurgaon, Haryana,3.8,137,277,2025,"₹ 5,68,000",,"61,75,000","AICTE, RCI, COA, PCI, INC "
141,Poddar International College,B.Sc,B.Sc, Jaipur, Rajasthan,3.9,138,277,2025,"₹ 40,000",,"24,00,000","NCTE, AICTE, UGC "
142,IPS Academy,B.Sc,B.Sc Biotechnology, Indore, Madhya Pradesh,3.8,139,277,2025,"₹ 1,11,750","6,82,000","4,00,00,000","NCTE, AICTE, COA, PCI, BCI "
143,Rambha Group of Institutions,B.Sc,B.Sc, Jamshedpur, Jharkhand,,140,277,2025,"₹ 40,000",,,"NCTE, AICTE, PCI, INC, BCI "
144,Sri Ramakrishna College of Arts & Science For Women,B.Sc,B.Sc Computer Science, Coimbatore, Tamil Nadu,4.5,141,277,2025,"₹ 68,490",,,UGC 
145,Dev Samaj College For Women,B.Sc,B.Sc Non-Medical, Firozpur, Punjab,4.2,142,277,2025,"₹ 25,000","5,00,000","24,00,000",UGC 
146,SDM College Ujire,B.Sc,B.Sc Biotechnology, Mangalore, Karnataka,4.1,143,277,2025,"₹ 36,351",,,
147,Kongu Arts and Science College,B.Sc,B.Sc Computer Science, Erode, Tamil Nadu,4.2,144,277,2025,"₹ 87,000",,"5,20,000","AICTE, UGC "
148,All Saints' College,B.Sc,B.Sc Zoology, Thiruvananthapuram, Kerala,3.8,145,277,2025,"₹ 67,500",,,UGC 
