,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
125,Christ College Irinjalakuda,BCA,BCA {Hons.}, Thrissur, Kerala,4,128,251,2025,"₹ 56,790",,,UGC 
126,Don Bosco Arts and Science College    Angadikadavu,BCA,BCA, Kannur, Kerala,4.4,129,251,2025,"₹ 1,24,000",,,
127,Dayananda Sagar Business Academy,BCA,BCA, Bangalore, Karnataka,4,131,251,2025,"₹ 1,20,000","5,00,000","10,00,000",
128,Hindustan College of Arts and Science,BCA,BCA, Chennai, Tamil Nadu,3.8,132,251,2025,"₹ 1,50,500",,"3,50,000",
129,Vels Institute of Science,BCA,BCA, Chennai, Tamil Nadu,3.9,133,251,2025,"₹ 3,63,000","4,50,000","12,00,000","NCTE, AICTE, PCI, BCI, UGC "
130,Stani Memorial PG College,BCA,BCA, Jaipur, Rajasthan,3.8,136,251,2025,"₹ 46,200",,,UGC 
131,UPES,BCA,BCA, Dehradun, Uttarakhand,3.9,137,251,2025,"₹ 5,87,000",,"33,00,000","PCI, BCI, UGC, NBA "
132,Poddar International College,BCA,BCA, Jaipur, Rajasthan,3.9,138,251,2025,"₹ 1,96,000",,"24,00,000","NCTE, AICTE, UGC "
133,Kovai Kalaimagal College of Arts and Science,BCA,BCA, Coimbatore, Tamil Nadu,4.6,139,251,2025,"₹ 1,38,000","2,03,000","4,00,000",UGC 
134,Delhi School of Professional Studies and Research,BCA,BCA, New Delhi, Delhi NCR,4,140,251,2025,"₹ 3,26,000",,"11,00,000",
135,Integral University,BCA,BCA, Lucknow, Uttar Pradesh,4.1,141,251,2025,"₹ 2,55,000",,"32,50,000","NCTE, COA, PCI, INC, MCI "
136,Uttaranchal University,BCA,BCA, Dehradun, Uttarakhand,3.8,142,251,2025,"₹ 3,93,248",,"1,50,00,000","AICTE, PCI, BCI, ICAR, UGC "
137,Hindusthan College of Arts and Science,BCA,BCA, Coimbatore, Tamil Nadu,4,143,251,2025,"₹ 1,50,500","3,75,000","8,60,000",AICTE 
138,Don Bosco College,BCA,BCA, Panji, Goa,3.4,144,251,2025,"₹ 1,71,969",,,
139,Sri Kanyaka Parameswari Arts and Science College for Women,BCA,BCA, Chennai, Tamil Nadu,4.5,145,251,2025,"₹ 1,81,500",,,
140,Rathinam College of Arts and Science,BCA,BCA DevOps, Coimbatore, Tamil Nadu,4.2,146,251,2025,"₹ 3,30,000","5,00,000","58,00,000","AICTE, NBA, ACCA "
141,Muthayammal College of Arts and Science,BCA,BCA, Namakkal, Tamil Nadu,3.9,147,251,2025,"₹ 92,400",,,UGC 
142,Sanskriti University,BCA,BCA, Mathura, Uttar Pradesh,3.8,148,251,2025,"₹ 2,12,500","6,20,000","1,40,00,000","NCTE, RCI, PCI, BCI, ICAR "
143,SDNB Vaishnav College for Women,BCA,BCA, Chennai, Tamil Nadu,4.3,149,251,2025,"₹ 63,000","7,50,000","7,50,000",UGC 
144,Nallamuthu Gounder Mahalingam College,BCA,B.Sc Computer Technology, Coimbatore, Tamil Nadu,4.3,150,251,2025,"₹ 93,000",,,
145,Poornima University,BCA,BCA Artificial Intelligence & Data Science, Jaipur, Rajasthan,4,151,251,2025,"₹ 3,90,000","4,01,000","13,13,000","COA, NCHMCT, UGC, AIU "
146,Jaipur National University,BCA,BCA, Jaipur, Rajasthan,3.9,153,251,2025,"₹ 2,50,100","5,50,000","27,00,000","NCTE, AICTE, PCI, INC, MCI "
