,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
124,Holy Cross College  (Autonomous),B.Com,B.Com, Tiruchirappalli, Tamil Nadu,4.3,118,317,2025,"₹ 74,370",,,
125,Hans Raj Mahila Maha Vidyalaya,B.Com,B.Com {Hons.}, Jalandhar, Punjab,4,119,317,2025,"₹ 1,20,000",,,UGC 
126,Maharani Lakshmi Ammanni College for Women,B.Com,B.Com, Bangalore, Karnataka,4,120,317,2025,"₹ 1,68,000",,"8,00,000","AICTE, UGC "
127,Hargovandas Lakhmichand College of Commerce (H L College of Commerce),B.Com,B.Com Accountancy, Ahmedabad, Gujarat,4.2,121,317,2025,"₹ 7,956",,"30,000",UGC 
128,Guru Nanak College (Autonomous),B.Com,B.Com, Chennai, Tamil Nadu,4.1,122,317,2025,"₹ 72,753",,,AICTE 
129,Sri Ramakrishna College of Arts and Science,B.Com,B.Com, Coimbatore, Tamil Nadu,4.1,123,317,2025,"₹ 1,94,000","4,60,000","12,00,000",AICTE 
130,Loyola Academy Degree and PG College,B.Com,B.Com Computer Applications, Secunderabad, Telangana,4.1,124,317,2025,"₹ 18,150","5,00,000","16,00,000",UGC 
131,Kanya Mahavidyalaya,B.Com,B.Com {Hons.}, Jalandhar, Punjab,4.8,125,317,2025,"₹ 3,47,700",,"3,00,000",UGC 
132,Dr. SNS Rajalakshmi College of Arts and Science,B.Com,B.Com Professional Accounting, Coimbatore, Tamil Nadu,4.1,126,317,2025,"₹ 1,44,000","3,00,000","9,00,000","AICTE, UGC "
133,BBK DAV College for Women,B.Com,B.Com, Amritsar, Punjab,4.1,127,317,2025,"₹ 2,56,935",,,UGC 
134,DAV College,B.Com,B.Com, Abohar, Punjab,4.1,129,317,2025,"₹ 95,475","1,00,000","2,80,000",UGC 
135,DAV College,B.Com,B.Com, Jalandhar, Punjab,3.7,130,317,2025,"₹ 1,79,060",,"6,50,000",UGC 
136,Bharata Mata College,B.Com,B.Com {Hons.} Computer Application, Kochi, Kerala,3.9,131,317,2025,"₹ 9,191",,"8,40,000",AICTE 
137,Jagannath Community College (JCC),B.Com,B.Com, New Delhi, Delhi NCR,4,132,317,2025,"₹ 5,11,500","7,50,000","21,00,000",
138,Dayananda Sagar Business Academy,B.Com,B.Com Accounting & Taxation, Bangalore, Karnataka,4,133,317,2025,"₹ 1,20,000","5,00,000","10,00,000",
139,Dr. N.G.P. Arts and Science College,B.Com,B.Com, Coimbatore, Tamil Nadu,4,135,317,2025,"₹ 1,05,000","3,30,000","9,00,000",UGC 
140,St Aloysius College,B.Com,B.Com Applied Economics, Jabalpur, Madhya Pradesh,3.8,136,317,2025,"₹ 98,645",,,UGC 
141,CMS College of Science and Commerce,B.Com,B.Com, Coimbatore, Tamil Nadu,4,137,317,2025,"₹ 2,550",,,"AICTE, UGC "
142,Chandigarh University,B.Com,B.Com {Hons.}, Mohali, Punjab,4.4,138,317,2025,"₹ 6,44,500",,"54,75,000","NCTE, AICTE, COA, PCI, BCI "
143,H. A. College of Commerce,B.Com,B.Com, Ahmedabad, Gujarat,4.2,139,317,2025,"₹ 28,800",,,
144,Rosary College of Commerce and Arts,B.Com,B.Com, Salcete, Goa,3.7,140,317,2025,"₹ 21,600",,,
145,Amity University,B.Com,B.Com {Hons.}, Lucknow, Uttar Pradesh,4.1,141,317,2025,"₹ 6,42,000","8,00,000","45,00,000","NCTE, RCI, COA, PCI, BCI "
146,Chitkara University,B.Com,B.Com {Hons.}, Chandigarh, Chandigarh,4.2,142,317,2025,"₹ 6,12,000","11,00,000","44,00,000","UGC, AACSB "
147,The Bhopal School of Social Sciences,B.Com,B.Com {Hons.}, Bhopal, Madhya Pradesh,4.1,143,317,2025,"₹ 4,52,000",,"7,60,000",UGC 
148,Kongu Arts and Science College,B.Com,B.Com Professional Accounting, Erode, Tamil Nadu,4.2,144,317,2025,"₹ 90,000",,"5,20,000","AICTE, UGC "
149,Hindusthan College of Arts and Science,B.Com,B.Com Professional Accounting, Coimbatore, Tamil Nadu,4,145,317,2025,"₹ 1,68,000","3,75,000","8,60,000",AICTE 
150,Badruka College of Commerce and Arts,B.Com,B.Com {Hons.}, Hyderabad, Telangana,4.3,146,317,2025,"₹ 18,150",,,UGC 
151,Amity University,B.Com,B.Com {Hons.}, Jaipur, Rajasthan,4.1,147,317,2025,"₹ 4,88,000","4,84,000","52,76,000","AICTE, RCI, COA, BCI, UGC "
152,SDM College Ujire,B.Com,B.Com, Mangalore, Karnataka,4.1,148,317,2025,"₹ 74,001",,,
153,Sri Ramakrishna College of Arts & Science For Women,B.Com,B.Com, Coimbatore, Tamil Nadu,4.5,149,317,2025,"₹ 2,16,000",,,UGC 
154,St. Albert's College,B.Com,B.Com {Hons.} Taxation, Ernakulam, Kerala,3.5,150,317,2025,"₹ 1,89,060",,,
155,Rathinam College of Arts and Science,B.Com,B.Com Accounting And Finance, Coimbatore, Tamil Nadu,4.2,151,317,2025,"₹ 1,80,000","5,00,000","58,00,000","AICTE, NBA, ACCA "
156,Seshadripuram Institute of Commerce and Management,B.Com,B.Com, Bangalore, Karnataka,4,152,317,2025,"₹ 3,00,000",,,
157,T John College,B.Com,B.Com, Bangalore, Karnataka,4.1,153,317,2025,"₹ 2,95,000",,,
158,All Saints' College,B.Com,B.Com, Thiruvananthapuram, Kerala,3.8,154,317,2025,"₹ 54,000",,,UGC 
159,Krupanidhi Degree College,B.Com,B.Com Investment Banking, Bangalore, Karnataka,3.6,155,317,2025,"₹ 2,52,000",,,AICTE 
160,Sivananda Sarma Memorial RV Degree College,B.Com,B.Com Professional, Bangalore, Karnataka,4,156,317,2025,"₹ 1,91,535","4,52,000","9,00,000","AICTE, UGC "
161,Bishop Heber College,B.Com,B.Com, Tiruchirappalli, Tamil Nadu,4.2,157,317,2025,"₹ 1,11,120","12,00,000","35,00,000","AICTE, UGC "
162,Poddar International College,B.Com,B.Com, Jaipur, Rajasthan,3.9,158,317,2025,"₹ 30,000",,"24,00,000","NCTE, AICTE, UGC "
163,Amity University,B.Com,B.Com {Hons.}, Raipur, Chhattisgarh,3.8,159,317,2025,"₹ 3,28,000",,"24,00,000","NCTE, AICTE, COA, BCI, UGC "
164,St Josephs College Irinjalakuda,B.Com,B.Com Finance, Thrissur, Kerala,3.9,160,317,2025,"₹ 6,125",,,
165,Dev Samaj College For Women,B.Com,B.Com, Firozpur, Punjab,4.2,161,317,2025,"₹ 25,000","5,00,000","24,00,000",UGC 
166,Marathwada Mitramandal's College of Commerce,B.Com,B.Com, Pune, Maharashtra,3.5,162,317,2025,"₹ 48,030","3,00,000","8,40,000","AICTE, UGC "
167,SDNB Vaishnav College for Women,B.Com,B.Com, Chennai, Tamil Nadu,4.3,163,317,2025,"₹ 61,500","7,50,000","7,50,000",UGC 
168,DAV College,B.Com,B.Com, Hoshiarpur, Punjab,3.9,164,317,2025,"₹ 1,13,325",,,
169,St. Francis de Sales College,B.Com,B.Com, Bangalore, Karnataka,3.9,165,317,2025,"₹ 2,44,000",,,
170,St. Xavier's College,B.Com,B.Com {Hons.} Cost & Management Accounting, Bardez, Goa,3.7,166,317,2025,"₹ 24,375","3,75,000","6,00,000",UGC 
171,Lingaya's Lalita Devi Institute of Management and Sciences,B.Com,B.Com {Hons.}, New Delhi, Delhi NCR,3.6,167,317,2025,"₹ 5,44,000","5,50,000","10,00,000","NCTE, AICTE, UGC "
172,ICFAI University,B.Com,B.Com {Hons.} Accounting And Finance, Gangtok, Sikkim,3.5,168,317,2025,"₹ 2,48,000","1,87,000","8,00,000","AICTE, BCI, UGC, AIU "
173,Andhra Loyola College,B.Com,B.Com, Vijayawada, Andhra Pradesh,3.9,169,317,2025,"₹ 26,400",,"3,42,000","AICTE, UGC "
174,Hindustan College of Arts and Science,B.Com,B.Com, Chennai, Tamil Nadu,3.8,170,317,2025,"₹ 1,20,500",,"3,50,000",
175,V. O. Chidambaram College,B.Com,B.Com, Thoothukkudi, Tamil Nadu,3.6,171,317,2025,"₹ 15,000",,,UGC 
176,GLA University,B.Com,B.Com {Hons.}, Mathura, Uttar Pradesh,4.2,172,317,2025,"₹ 6,62,000","6,30,000","60,00,000","NCTE, AICTE, PCI, BCI, UGC "
177,Integral University,B.Com,B.Com {Hons.}, Lucknow, Uttar Pradesh,4.1,173,317,2025,"₹ 1,65,000",,"32,50,000","NCTE, COA, PCI, INC, MCI "
178,Sacred Heart College (Autonomous),B.Com,B.Com, Tiruppattur, Tamil Nadu,3.9,174,317,2025,"₹ 1,37,283",,"2,80,000",
179,Devki Devi Jain Memorial College for Women,B.Com,B.Com, Ludhiana, Punjab,4.1,175,317,2025,"₹ 80,667",,,UGC 
180,DAV College,B.Com,B.Com, Amritsar, Punjab,3.7,176,317,2025,"₹ 2,19,480",,,UGC 
